shipment_id,order_id,order_date,delivery_month,customer_region,supplier_id,supplier_name,reliability_score,reliability_band,warehouse_id,warehouse_name,city,overload_risk_band,product_id,product_name,category,order_quantity,order_value_eur,priority,shipment_status,promised_delivery_date,actual_delivery_date,delay_days,late_delivery_flag,delay_reason,stockout_risk_flag,warehouse_overload_flag
SHP-000001,ORD-000001,2025-03-02,2025-03,DE-East,SUP-008,Hanseatic Materials,0.604,low,WH-001,Berlin Distribution Center,Berlin,medium,PRD-0078,Cover Sheet 0078,Textiles,82,9776.86,standard,delivered,2025-03-13,2025-03-14,1.0,True,carrier_delay,False,True
SHP-000002,ORD-000002,2025-08-29,2025-09,DE-South,SUP-011,Saxon Metals,0.611,low,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0051,Controller 0051,Electronics,69,22934.22,standard,delivered,2025-09-07,2025-09-05,-2.0,False,,False,False
SHP-000003,ORD-000003,2025-06-28,2025-07,DE-Central,SUP-016,Nordic Freight Supplies,0.901,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0008,Plastic Resin 0008,Raw Materials,457,27799.31,standard,delivered,2025-07-15,2025-07-13,-2.0,False,,False,False
SHP-000004,ORD-000004,2025-10-03,2025-10,DE-West,SUP-008,Hanseatic Materials,0.604,low,WH-003,Munich Distribution Center,Munich,medium,PRD-0073,Foam Insert 0073,Packaging,252,56508.48,expedited,delivered,2025-10-16,2025-10-20,4.0,True,supplier_late_dispatch,True,False
SHP-000005,ORD-000005,2025-07-28,2025-08,DE-North,SUP-009,Ruhr Mechanical,0.965,high,WH-004,Cologne Distribution Center,Cologne,low,PRD-0055,Controller 0055,Electronics,85,15420.7,standard,delivered,2025-08-04,2025-08-04,0.0,False,,False,False
SHP-000006,ORD-000006,2025-07-17,2025-07,DE-East,SUP-013,Rhine Components,0.887,high,WH-002,Hamburg Distribution Center,Hamburg,medium,PRD-0127,Plastic Resin 0127,Raw Materials,327,114400.95,expedited,delivered,2025-07-26,2025-07-26,0.0,False,,False,False
SHP-000007,ORD-000007,2025-12-11,2025-12,DE-South,SUP-006,Elbe Manufacturing,0.939,high,WH-008,Dortmund Distribution Center,Dortmund,medium,PRD-0004,Bracket 0004,Mechanical,234,16787.16,standard,delivered,2025-12-16,2025-12-17,1.0,True,,False,True
SHP-000008,ORD-000008,2025-07-26,2025-08,DE-East,SUP-011,Saxon Metals,0.611,low,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0051,Controller 0051,Electronics,113,37558.94,expedited,delivered,2025-08-04,2025-08-04,0.0,False,,False,False
SHP-000009,ORD-000009,2025-02-25,2025-03,DE-South,SUP-010,Black Forest Plastics,0.829,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0171,Cable 0171,Electronics,130,46667.4,standard,delivered,2025-03-02,2025-02-28,-2.0,False,,False,True
SHP-000010,ORD-000010,2025-03-20,2025-03,DE-East,SUP-019,Danube Tools,0.652,low,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0174,Plastic Resin 0174,Raw Materials,339,76515.69,standard,delivered,2025-03-26,2025-03-26,0.0,False,,True,False
SHP-000011,ORD-000011,2025-10-04,2025-10,DE-South,SUP-022,Black Forest Plastics,0.971,high,WH-006,Leipzig Distribution Center,Leipzig,medium,PRD-0067,Gear 0067,Mechanical,26,5219.76,critical,delivered,2025-10-12,2025-10-12,0.0,False,,False,False
SHP-000012,ORD-000012,2025-03-10,2025-03,DE-East,SUP-014,Baltic Packaging,0.868,medium,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0126,Controller 0126,Electronics,104,5864.56,standard,delivered,2025-03-14,2025-03-14,0.0,False,,False,False
SHP-000013,ORD-000013,2025-05-26,2025-06,DE-West,SUP-016,Nordic Freight Supplies,0.901,high,WH-007,Stuttgart Distribution Center,Stuttgart,low,PRD-0015,Controller 0015,Electronics,12,1534.08,standard,delivered,2025-06-09,2025-06-10,1.0,True,,False,False
